variable,arguments,operators,expressions,loops,operands,exceptions,exception_clause,mccable_complex,id
14,1,32,32,6,20,0,0,26,59883
15,1,45,45,7,25,0,5,45,68327
61,6,37,37,11,70,1,1,27,43077
16,3,93,93,4,20,0,0,41,47937
18,5,103,103,10,24,0,0,41,71556
3,1,2,2,0,4,0,0,5,44618
4,1,21,21,1,5,0,0,25,59929
11,1,21,21,5,15,0,0,19,46625
15,6,45,45,2,18,1,0,27,75846
23,2,47,47,10,26,2,0,30,73838
11,0,38,38,8,20,7,1,33,71805
14,1,17,17,2,12,0,0,9,48791
35,1,17,17,7,14,1,0,14,69536
17,10,55,55,4,59,0,1,63,38493
5,1,6,6,0,8,0,0,3,47034
17,7,34,34,5,34,0,2,45,45009
9,1,14,14,4,10,0,0,12,38539
19,30,88,88,6,93,0,0,64,65846
57,6,177,177,18,67,2,1,112,54618
23,6,41,41,9,40,0,0,29,49929
7,1,23,23,3,8,0,0,7,56625
22,9,35,35,8,50,1,1,26,66293
16,10,77,77,6,51,8,0,67,73992
18,2,48,48,11,25,0,1,36,75145
17,10,123,123,9,61,4,1,59,72680
10,1,10,10,3,11,0,0,8,67894
23,4,79,79,15,36,4,0,61,72395
10,3,33,33,4,14,0,0,29,43831
8,1,11,11,2,8,0,0,9,75450
57,22,115,115,18,117,21,3,86,71940
18,1,36,36,4,18,0,0,16,69189
16,1,13,13,2,15,2,0,11,70652
5,1,21,21,1,6,0,0,24,64241
223,170,540,540,111,536,6,2,469,56760
9,1,15,15,3,10,1,0,8,57872
26,3,48,48,10,26,0,0,30,42373
37,4,131,131,13,54,1,1,103,42689
15,3,14,14,4,18,0,0,14,64611
10,1,19,19,4,12,0,0,16,60652
4,1,20,20,1,5,0,0,11,57521
25,2,33,33,6,26,1,0,18,74241
8,1,16,16,1,7,0,0,12,43132
9,1,6,6,3,23,0,0,9,68262
4,1,6,6,0,5,0,0,2,52723
6,1,6,6,2,7,0,0,4,62395
8,1,9,9,1,8,0,0,3,65450
22,4,63,63,7,51,0,2,28,60202
16,8,24,24,4,23,0,0,15,43562
24,5,42,42,7,36,0,4,33,75903
1,1,0,0,0,2,0,0,1,39797
24,17,81,81,6,64,0,1,39,38885
33,3,69,69,10,63,1,0,40,69920
8,1,10,10,2,9,1,0,9,71413
3,1,1,1,0,4,0,0,3,47872
12,4,17,17,3,21,0,1,15,49495
49,21,76,76,13,72,0,1,76,65000
25,10,50,50,11,65,0,1,55,66801
13,6,45,45,3,28,0,0,29,44073
7,5,90,90,3,19,2,0,25,73300
16,1,44,44,5,17,0,0,15,58050
9,7,29,29,4,32,0,1,20,41271
1,0,1,1,0,1,0,0,0,48953
5,1,9,9,2,6,0,0,9,55662
36,1,39,39,4,27,0,0,30,60486
34,6,54,54,12,40,1,0,36,73750
7,1,10,10,1,8,0,0,5,44423
10,2,22,22,4,12,2,0,16,72842
22,9,116,116,12,45,1,2,85,55232
7,1,17,17,2,8,0,0,13,64996
9,2,23,23,3,12,0,0,16,66102
5,1,8,8,1,6,0,0,7,58953
10,1,19,19,2,11,1,0,11,59641
12,7,61,61,6,40,1,2,37,72511
6,1,24,24,0,7,0,0,25,63300
34,10,89,89,18,65,0,1,84,50899
1,1,8,8,0,2,0,0,13,61297
21,12,31,31,3,44,0,1,35,50933
4,1,2,2,0,5,1,0,1,39810
16,1,27,27,7,18,1,0,20,75684
8,4,3,3,2,14,0,0,6,59211
23,2,162,162,9,37,0,1,60,45232
20,2,26,26,3,37,1,1,14,74996
6,1,14,14,2,8,0,0,7,40030
4,1,0,0,0,5,0,0,1,54423
27,10,133,133,13,71,0,0,95,63750
48,18,133,133,19,96,0,1,104,48400
17,1,42,42,4,33,0,0,19,74979
7,3,19,19,2,21,0,2,17,64580
87,18,105,105,17,116,0,1,71,63245
18,1,53,53,9,17,0,0,27,53309
9,4,16,16,3,25,0,0,17,51334
36,5,66,66,7,47,0,0,47,60890
35,1,41,41,6,28,0,0,37,38217
19,2,34,34,3,31,0,1,12,72454
14,1,16,16,3,11,0,0,10,59704
14,3,12,12,0,27,1,0,4,46808
8,1,31,31,4,18,4,0,18,75391
8,2,22,22,3,12,0,0,11,44835
8,5,14,14,2,20,0,1,16,42148
38,9,88,88,11,132,3,2,49,69218
4,1,5,5,1,5,1,0,3,62907
11,1,31,31,5,36,9,0,29,48545
16,4,47,47,5,31,0,2,32,53759
24,6,36,36,9,40,0,2,35,51764
16,6,43,43,6,42,1,2,36,72004
20,2,55,55,4,26,0,1,65,39955
18,3,26,26,5,36,0,0,25,45377
10,2,23,23,4,31,5,1,21,71782
13,5,30,30,6,25,2,0,19,68059
4,1,6,6,0,5,0,0,7,41334
12,13,85,85,7,45,2,1,50,70890
13,7,34,34,6,23,0,0,39,49704
16,3,40,40,9,27,0,2,35,65391
18,10,23,23,4,47,0,5,29,54835
8,1,2,2,0,4,0,0,2,60469
8,1,7,7,2,13,0,0,5,48816
11,1,6,6,1,8,0,0,5,50525
8,1,9,9,1,13,0,0,6,66944
8,1,36,36,1,5,0,0,8,58115
22,2,43,43,5,27,0,2,18,73245
25,2,73,73,14,42,4,2,39,68409
5,1,6,6,1,6,0,0,4,43759
27,12,63,63,7,52,0,1,44,41764
9,1,15,15,4,16,0,0,12,55377
6,1,0,0,0,3,0,0,1,62004
21,7,42,42,9,46,0,0,32,71628
17,27,53,53,7,48,1,1,21,73615
18,1,34,34,8,37,0,0,29,58545
73,36,184,184,30,129,0,0,136,56672
14,7,68,68,5,38,0,2,40,47599
13,1,27,27,1,16,0,0,8,42261
19,3,34,34,6,37,5,1,26,69131
27,8,117,117,12,59,5,1,53,75112
12,1,16,16,5,13,0,0,15,43889
18,1,19,19,3,15,0,0,12,64703
4,1,5,5,1,5,0,0,3,66694
2,1,0,0,0,3,0,0,1,67986
6,1,7,7,2,8,0,0,9,56222
20,10,56,56,11,47,0,0,49,72287
3,0,0,0,0,4,0,0,0,42631
3,1,1,1,0,4,0,0,3,47433
52,7,159,159,14,67,0,3,98,70740
3,1,3,3,0,4,0,0,1,53020
13,2,27,27,5,43,0,0,19,64353
21,4,60,60,9,33,0,1,22,57063
4,1,7,7,1,5,0,0,5,60310
42,18,88,88,10,75,0,2,53,46388
50,19,140,140,25,112,0,1,113,43470
12,11,46,46,4,37,0,0,22,39685
2,0,0,0,0,2,0,0,0,38997
27,10,54,54,11,63,1,0,52,74703
9,3,31,31,3,24,0,2,29,58396
10,1,19,19,5,10,1,0,16,69832
20,1,25,25,5,24,0,0,17,71501
8,2,20,20,2,11,0,0,13,65112
29,5,76,76,10,31,1,0,29,52261
5,3,5,5,2,20,0,0,7,60740
9,1,12,12,2,12,0,0,13,61852
14,5,52,52,8,24,0,0,40,74353
35,15,107,107,10,56,1,0,89,68370
8,2,1,1,0,6,0,0,2,46222
14,5,28,28,5,35,1,0,19,71151
15,3,39,39,6,42,5,1,27,69998
2,1,6,6,0,3,1,0,5,52631
3,1,2,2,0,4,0,0,2,62287
55,9,147,147,24,94,0,0,94,58729
26,1,74,74,5,28,0,0,79,73479
5,1,9,9,1,6,0,0,5,47825
34,4,87,87,12,67,1,0,46,71444
7,1,11,11,2,8,0,0,9,65057
24,2,40,40,4,33,2,1,57,62792
3,4,2,2,0,11,0,0,6,63880
14,1,29,29,4,20,0,1,16,52324
3,1,0,0,0,3,0,0,1,50319
9,1,13,13,2,10,0,0,9,49138
6,5,49,49,3,35,0,2,21,67590
38,1,80,80,11,31,0,0,34,41508
4,1,4,4,0,5,0,0,1,43535
40,8,92,92,12,57,1,0,61,68665
13,6,62,62,9,28,1,1,38,73183
34,2,151,151,16,41,1,0,41,74646
7,1,9,9,2,8,0,0,5,52774
4,1,4,4,1,5,0,0,4,65407
10,4,15,15,2,26,0,1,23,49092
12,3,22,22,4,26,0,1,27,62638
7,1,9,9,1,8,0,0,3,68235
6,1,13,13,2,7,0,0,7,43165
11,1,11,11,4,14,1,0,9,72268
15,1,55,55,7,18,0,0,31,63183
2,1,7,7,0,3,0,0,3,67969
15,7,35,35,5,43,0,0,25,63479
7,2,15,15,3,12,0,0,12,57825
2,1,6,6,1,4,0,0,3,66381
31,21,76,76,16,74,0,1,73,69074
27,6,89,89,17,67,6,1,61,73880
64,7,197,197,22,90,0,0,82,75057
19,6,60,60,11,34,2,0,63,72792
39,13,133,133,13,72,2,1,86,59568
15,5,39,39,2,17,0,0,23,61014
38,15,100,100,15,72,0,1,80,56367
17,2,36,36,4,32,2,1,45,59092
5,1,5,5,1,6,0,0,3,42774
29,1,236,236,7,56,5,1,75,69424
30,3,102,102,11,54,3,1,115,63746
32,11,74,74,15,54,0,2,63,48416
39,14,82,82,12,66,0,2,48,64083
4,1,0,0,0,5,0,0,1,54435
44,3,78,78,9,50,0,0,68,60869
1,1,3,3,0,2,0,0,1,62854
6,1,7,7,1,7,0,0,9,56408
328,46,857,857,189,558,3,2,604,38714
39,3,102,102,12,70,1,0,50,72157
6,1,6,6,2,9,0,0,5,59207
25,7,95,95,11,49,2,1,81,51637
2,1,7,7,0,3,0,0,11,61281
50,9,37,37,7,47,1,1,37,50925
55,26,95,95,18,87,0,2,79,54065
6,1,2,2,0,7,0,0,2,63316
11,4,13,13,1,20,0,1,12,40476
14,1,34,34,5,22,5,0,17,68809
12,1,41,41,7,17,5,0,31,59657
23,7,64,64,11,41,6,1,46,72507
6,1,10,10,2,7,0,0,8,51267
10,4,28,28,3,24,0,2,25,62157
20,1,46,46,7,25,5,1,25,71281
31,0,30,30,5,18,0,0,18,40925
4,1,12,12,1,7,1,0,5,74579
14,3,28,28,2,19,0,0,7,39105
17,5,62,62,9,30,5,1,43,70869
13,1,37,37,4,15,1,0,26,72854
12,1,22,22,4,13,0,0,13,46408
19,2,59,59,11,28,6,0,33,74083
28,1,42,42,7,27,0,0,30,60490
35,7,58,58,11,51,0,0,43,57649
5,1,8,8,2,6,0,0,9,55674
9,3,15,15,1,13,0,0,4,62507
32,28,71,71,11,64,0,0,71,49657
16,1,34,34,6,17,0,0,13,58046
15,3,20,20,3,28,0,0,23,44065
4,1,5,5,2,6,0,0,4,67705
42,24,117,117,12,94,0,1,81,66817
19,1,17,17,3,24,0,0,9,72911
8,1,8,8,0,9,1,0,3,49342
4,1,3,3,1,5,0,0,3,50499
12,1,0,0,0,5,0,0,1,41772
7,1,7,7,1,9,1,0,5,74596
4,1,21,21,0,6,0,0,15,44120
3,1,9,9,0,4,0,0,8,50533
21,8,49,49,8,42,0,1,55,49712
11,1,45,45,5,12,0,0,21,65387
24,9,74,74,9,41,0,0,55,70886
7,1,11,11,2,10,0,0,11,38651
23,5,78,78,9,32,0,0,37,40499
4,1,10,10,0,5,0,0,3,51772
28,6,49,49,10,42,4,1,34,48553
9,1,20,20,3,10,0,0,8,63603
50,46,95,95,11,180,0,1,120,54570
10,0,4,4,0,10,0,0,0,72442
32,7,96,96,14,54,1,2,85,59712
13,6,34,34,5,33,0,0,28,44823
29,2,24,24,3,25,0,0,14,58800
13,4,9,9,1,17,0,1,6,61794
10,1,15,15,5,11,0,0,14,66051
9,1,2,2,1,6,0,0,2,51322
6,1,6,6,0,7,0,0,5,54120
33,6,73,73,9,61,0,2,42,64596
23,7,53,53,7,56,0,1,42,63253
13,2,43,43,5,26,1,1,46,67569
39,7,98,98,14,72,0,6,97,53935
8,1,2,2,0,5,0,0,3,62291
19,2,52,52,5,29,0,1,61,51908
20,3,41,41,11,35,0,0,39,71147
26,1,33,33,5,27,1,0,31,73480
9,1,9,9,1,10,1,0,13,61844
32,0,54,54,15,42,1,0,41,67093
10,3,15,15,3,13,0,0,10,67139
37,18,88,88,17,79,0,2,95,65104
8,4,58,58,3,13,0,0,22,46664
22,10,27,27,9,68,9,1,30,71517
4,1,0,0,0,5,0,0,2,47976
3,1,1,1,0,4,0,0,3,38981
21,3,44,44,6,27,1,2,30,68736
5,1,7,7,0,3,0,0,9,39693
32,19,68,68,5,63,2,2,47,64345
4,1,3,3,0,5,0,0,1,53036
78,13,76,76,8,58,8,0,56,70756
5,1,12,12,3,10,5,0,13,71844
22,5,46,46,10,41,4,1,38,73879
9,1,8,8,3,14,1,0,8,69577
4,1,3,3,0,5,0,0,1,42627
10,2,40,40,10,40,6,0,35,75554
5,1,9,9,0,6,1,0,4,67990
1,1,2,2,0,2,0,0,1,61147
3,0,0,0,0,3,0,0,0,66682
13,1,13,13,3,10,0,0,9,53466
32,15,60,60,7,73,0,5,50,64715
4,1,5,5,1,5,0,0,3,48380
9,3,10,10,2,19,0,0,10,38578
5,3,27,27,1,12,2,0,13,75104
14,4,25,25,2,18,4,0,17,69127
13,3,42,42,2,30,0,1,31,61517
37,1,23,23,1,11,0,0,21,49968
18,1,20,20,2,13,0,0,12,75411
4,1,4,4,0,5,0,0,5,43870
11,3,9,9,2,15,0,0,7,53489
22,9,46,46,5,45,0,1,46,61002
14,1,23,23,5,19,6,0,26,49987
27,3,66,66,12,32,1,0,28,70613
10,1,30,30,3,18,2,1,18,69062
36,3,117,117,14,56,3,3,78,73896
9,3,26,26,3,24,0,2,24,42332
9,4,5,5,1,13,0,0,4,66397
5,0,0,0,0,1,0,0,0,61452
9,1,17,17,1,6,0,0,9,53523
35,3,59,59,9,63,1,0,35,69598
15,6,48,48,7,29,1,1,43,70243
5,1,6,6,1,6,1,0,3,39386
23,1,93,93,11,28,3,1,51,74200
13,1,22,22,3,10,1,0,16,61901
11,1,5,5,2,8,0,0,6,65411
56,13,101,101,14,81,0,0,74,71002
23,4,38,38,2,35,0,1,21,46371
18,8,44,44,8,33,4,1,37,73195
52,35,154,154,15,88,6,1,95,75942
44,1,65,65,9,36,0,0,52,68673
10,9,52,52,4,44,0,2,32,67586
1,1,1,1,0,2,0,0,3,63896
8,1,19,19,0,3,0,0,2,65041
10,4,23,23,3,26,0,1,31,62784
33,4,199,199,11,39,0,0,81,68389
8,4,8,8,4,24,3,1,11,73341
17,2,26,26,5,26,0,0,12,39502
30,8,71,71,11,51,0,1,72,67752
20,2,38,38,3,29,2,1,52,60097
10,2,17,17,2,22,0,0,13,50421
330,59,845,845,186,559,3,2,607,55623
23,9,68,68,10,42,0,1,38,48912
5,1,10,10,2,6,0,0,5,49600
75,10,71,71,18,78,1,1,52,62550
11,4,21,21,3,27,0,1,27,54931
21,3,59,59,7,45,0,1,46,65295
88,3,37,37,4,29,0,1,19,76143
2,1,4,4,0,3,0,0,9,39152
20,1,63,63,12,21,0,0,53,55789
20,1,26,26,4,19,0,1,19,62100
8,1,11,11,1,7,0,0,7,49250
35,4,100,100,19,49,0,1,81,41660
29,1,58,58,10,42,1,1,32,72550
23,1,39,39,5,20,0,0,13,59600
4,1,7,7,0,5,0,0,5,44931
18,5,34,34,4,31,0,1,28,45623
38,7,60,60,10,64,0,0,31,58912
23,4,114,114,6,37,1,1,78,66143
10,1,29,29,2,17,0,0,8,64484
4,7,29,29,1,15,0,0,12,48011
9,2,8,8,2,13,0,0,6,40421
13,1,17,17,4,17,2,0,11,70097
33,6,71,71,10,57,0,2,47,38743
28,2,71,71,9,45,0,1,54,45273
3,1,12,12,1,4,0,0,9,59250
35,2,82,82,11,48,1,1,68,39851
10,2,30,30,4,25,6,0,25,51660
9,8,53,53,3,24,0,0,29,66513
2,1,0,0,0,3,0,0,5,63711
10,1,16,16,1,9,0,0,14,62803
25,1,53,53,14,26,0,0,51,54462
11,1,9,9,0,11,0,0,3,54177
6,1,3,3,1,7,0,0,3,48154
2,1,0,0,0,3,0,0,1,63204
4,0,6,6,0,4,0,0,1,61239
8,1,5,5,3,12,0,0,8,69609
17,5,106,106,3,34,5,1,34,70428
23,3,53,53,12,28,1,0,32,72415
5,1,21,21,2,6,0,0,15,58857
9,2,28,28,3,11,2,0,13,64191
5,2,18,18,1,9,0,0,7,62946
10,1,12,12,2,12,1,0,9,69259
34,12,55,55,13,99,9,0,50,40134
29,8,88,88,9,39,2,0,43,74892
3,1,2,2,0,4,0,0,1,45336
11,4,13,13,3,16,0,0,11,38606
10,3,12,12,3,10,0,0,10,39914
21,1,43,43,5,30,0,1,30,75780
9,0,31,31,2,10,0,0,10,70078
170,108,407,407,78,359,0,2,300,59315
5,1,6,6,1,6,0,0,6,53718
7,1,45,45,1,8,0,0,28,50837
58,16,104,104,11,85,2,1,109,54874
16,4,68,68,6,26,0,0,26,43348
7,2,10,10,2,11,0,0,8,76006
16,1,40,40,10,22,1,0,29,71239
11,1,91,91,1,8,0,0,19,39447
28,5,56,56,12,44,0,1,54,66905
15,5,32,32,3,34,5,2,21,52559
6,1,5,5,1,5,0,0,5,65780
17,2,28,28,3,26,2,1,48,60078
7,1,5,5,2,15,0,0,6,62045
4,1,38,38,6,12,1,0,17,71393
8,5,22,22,4,24,0,0,18,41725
12,1,16,16,5,13,0,0,16,43718
36,18,192,192,15,116,0,3,148,68448
43,1,91,91,13,41,4,1,59,72946
7,1,33,33,4,8,0,0,17,60582
22,7,111,111,14,38,0,0,100,72696
14,5,33,33,1,28,0,1,30,42220
31,11,99,99,15,62,2,1,86,66285
8,2,1,1,0,6,0,0,2,57921
12,9,39,39,2,24,0,0,13,61540
23,0,25,25,6,25,0,1,16,56633
3,1,3,3,0,4,0,0,4,53431
111,82,394,394,56,318,0,8,305,70351
4,1,3,3,1,5,0,0,7,47188
23,14,114,114,4,69,0,0,42,42670
38,20,125,125,14,99,0,1,80,56263
3,1,20,20,0,5,0,0,4,61110
2,1,5,5,0,3,0,0,1,53061
36,7,41,41,3,25,2,1,28,70701
35,30,76,76,19,117,0,0,66,47472
15,1,20,20,6,21,0,0,18,69873
11,1,23,23,3,15,2,1,13,73087
15,2,39,39,6,24,1,1,28,68761
47,13,107,107,24,82,0,1,96,65153
25,5,55,55,5,59,0,1,46,62696
11,1,20,20,3,20,0,0,12,59895
11,1,37,37,5,14,0,1,30,68331
48,12,266,266,22,122,2,2,142,58787
27,2,67,67,8,42,1,1,61,57472
15,1,13,13,3,20,1,0,9,61813
8,1,9,9,2,9,0,0,7,65503
15,3,25,25,7,36,2,0,24,71110
13,1,8,8,0,15,0,0,1,46263
11,1,18,18,3,11,0,0,9,65016
17,1,19,19,1,18,0,0,15,46776
22,4,67,67,7,37,6,1,45,73438
23,1,30,30,5,14,0,0,19,58768
20,7,60,60,9,37,0,0,35,38893
24,13,56,56,8,57,21,0,52,74607
76,43,121,121,13,185,0,1,146,58292
14,3,47,47,8,24,1,0,32,68624
17,10,42,42,7,36,0,0,27,43574
4,1,8,8,0,5,0,0,7,41549
8,1,2,2,0,5,0,0,1,39781
4,1,2,2,0,5,0,0,1,62229
1,0,0,0,0,1,0,0,0,57167
3,1,15,15,1,5,0,0,3,62383
16,1,66,66,8,26,7,0,26,50708
8,1,11,11,2,9,0,0,5,38939
26,1,77,77,10,25,2,1,33,71055
13,6,47,47,2,38,0,1,26,73068
24,13,96,96,9,54,0,1,60,46326
27,3,44,44,9,37,0,0,32,68274
13,1,22,22,3,18,2,0,16,74257
31,6,79,79,14,43,2,1,48,73592
3,1,5,5,0,4,0,0,5,62679
9,3,18,18,2,18,0,2,20,67181
6,3,8,8,2,10,0,0,8,67928
29,12,65,65,6,51,2,2,56,53574
37,15,105,105,9,85,0,2,65,51549
53,14,123,123,22,85,0,1,104,65915
4,6,8,8,1,11,0,0,6,64607
6,1,9,9,1,7,0,0,4,59179
24,1,58,58,8,22,4,1,48,70214
4,1,35,35,1,7,0,0,37,40358
21,1,33,33,8,33,0,0,23,42365
11,1,16,16,4,21,1,0,12,69035
11,6,30,30,3,19,0,0,24,55859
9,4,20,20,2,26,0,0,15,48768
14,1,30,30,4,13,0,0,17,64257
8,1,15,15,3,19,0,0,7,63592
24,1,37,37,9,33,1,0,33,71956
9,6,20,20,4,16,0,0,21,40708
20,3,46,46,6,35,1,3,25,69465
1,0,0,0,0,5,0,0,0,42735
15,3,39,39,8,20,0,0,35,43827
305,233,741,741,169,743,8,2,665,56326
10,1,10,10,3,11,0,0,9,67882
4,1,2,2,0,5,0,0,1,61055
20,4,28,28,8,27,0,1,24,66790
29,11,73,73,18,63,17,1,68,69672
14,4,22,22,3,20,2,0,10,68960
62,39,190,190,19,101,7,1,129,75651
67,47,264,264,27,254,0,1,244,56131
5,1,3,3,1,6,0,0,4,53333
9,1,7,7,2,19,1,0,11,46832
19,17,68,68,9,43,1,0,64,70453
89,49,209,209,34,212,24,5,151,69388
52,53,232,232,28,231,0,0,176,46998
76,15,93,93,14,86,0,2,62,59694
18,3,66,66,14,45,0,2,48,75201
24,12,54,54,10,47,0,1,48,61612
9,5,23,23,4,18,0,0,21,56561
37,13,118,118,15,66,2,1,95,48085
18,34,52,52,9,75,6,0,50,70003
51,40,164,164,15,107,2,1,127,68063
23,1,36,36,9,48,6,1,35,73785
5,1,3,3,0,6,0,0,5,56832
13,4,68,68,4,32,0,0,27,65651
2,1,1,1,0,3,0,0,1,64943
19,1,79,79,5,20,0,0,17,74410
6,1,4,4,1,7,0,0,5,58085
5,1,7,7,1,6,0,0,9,39596
21,4,48,48,8,32,0,1,27,60003
3,1,3,3,0,4,0,0,2,57370
16,9,92,92,3,27,0,0,31,48986
26,7,88,88,5,42,0,1,47,52172
62,7,116,116,19,79,2,1,91,56998
7,4,12,12,1,11,0,0,8,49694
9,1,12,12,2,10,0,0,7,65201
4,4,17,17,0,9,0,0,4,43299
21,7,59,59,12,45,0,1,59,64806
21,5,28,28,8,35,1,0,30,71307
2,0,0,0,0,2,0,0,0,44049
11,2,34,34,3,24,1,1,42,39083
9,1,11,11,1,11,0,0,13,68126
9,1,15,15,1,9,1,0,5,58590
52,9,27,27,6,45,1,1,28,55658
8,1,10,10,2,9,0,0,7,60516
49,16,147,147,16,97,0,1,97,52037
21,7,55,55,7,48,0,1,53,62481
7,1,9,9,2,8,0,0,5,44419
12,3,37,37,7,22,1,2,34,71757
25,2,59,59,10,29,1,0,31,73290
11,1,21,21,5,15,0,0,18,42934
13,13,48,48,5,40,21,0,52,74555
31,6,38,38,4,29,0,0,21,66991
18,1,25,25,4,20,0,0,14,55208
5,2,4,4,2,8,0,0,7,66138
65,42,88,88,20,223,0,0,83,70516
19,2,83,83,7,23,0,0,21,58969
1,0,11,11,1,16,0,1,15,74806
6,5,25,25,2,18,3,0,18,75714
54,5,121,121,22,89,5,1,110,68825
16,1,30,30,4,20,1,0,8,54049
28,4,92,92,11,54,1,2,87,56074
2,1,4,4,0,3,0,0,9,61307
9,7,9,9,2,33,0,0,12,52934
43,8,85,85,19,70,0,2,78,38738
40,2,140,140,13,56,0,4,70,70146
27,13,50,50,8,77,2,0,45,75344
15,1,32,32,8,16,1,0,21,42037
6,1,29,29,4,16,0,1,22,66092
36,48,130,130,12,179,0,1,136,39200
59,12,81,81,16,69,0,0,71,44730
8,1,6,6,1,5,0,0,4,59801
19,3,90,90,7,35,0,2,52,45822
12,5,58,58,4,24,2,0,16,74386
5,1,8,8,0,6,0,0,5,50323
13,2,22,22,6,21,0,0,20,60795
19,1,22,22,0,16,0,0,17,65597
4,1,2,2,0,5,0,0,1,49102
6,4,28,28,2,18,2,1,13,71184
28,2,43,43,10,41,2,1,36,73013
9,5,20,20,3,22,0,1,29,58343
15,1,31,31,5,16,0,0,19,38942
8,1,14,14,3,9,0,0,13,44360
2,1,2,2,0,3,0,0,3,39650
24,1,59,59,10,25,1,0,25,41498
7,1,19,19,2,8,0,0,7,50289
13,5,32,32,2,27,0,1,34,62602
11,1,19,19,1,12,0,0,16,49552
20,0,49,49,8,22,0,0,25,41162
14,8,58,58,6,35,0,0,39,76211
19,1,39,39,10,20,1,0,27,45988
7,1,18,18,1,8,1,0,9,45121
25,3,88,88,9,28,1,0,52,72252
4,1,5,5,0,6,0,0,11,59102
6,4,9,9,1,17,0,1,9,66641
14,3,15,15,3,14,0,0,10,63443
3,1,4,4,0,5,0,0,1,49801
25,1,66,66,13,34,6,1,58,71887
19,8,58,58,5,29,0,0,32,40323
30,21,56,56,8,62,3,1,43,73910
7,1,12,12,0,12,0,0,3,45571
37,15,144,144,18,69,1,2,123,66211
92,24,155,155,19,113,0,2,83,55988
8,1,4,4,3,17,0,0,5,48343
6,1,15,15,2,7,0,0,7,63013
24,4,63,63,9,36,0,1,62,40773
5,1,6,6,0,6,0,0,5,63506
7,1,14,14,3,8,0,0,9,49944
22,15,102,102,9,60,1,2,72,56648
27,2,61,61,12,38,7,0,49,75128
9,1,16,16,2,10,0,0,9,40266
5,1,9,9,2,6,0,0,10,38554
8,1,4,4,0,5,0,0,3,67816
24,6,50,50,6,40,0,1,51,54225
5,1,7,7,0,6,0,0,5,64693
53,15,115,115,24,93,0,1,107,63156
41,13,81,81,14,54,6,2,73,70280
36,2,69,69,11,57,0,3,36,75578
6,1,27,27,1,11,1,0,11,75082
48,13,81,81,10,86,1,0,51,71868
2,0,0,0,0,2,0,0,0,47409
15,10,47,47,3,36,0,1,42,61491
12,5,48,48,7,32,0,4,32,57059
7,1,14,14,4,18,7,1,21,74739
17,7,26,26,8,34,4,0,31,69808
14,6,27,27,4,28,1,1,19,41477
29,4,89,89,14,43,0,1,63,59944
100,53,179,179,23,235,0,1,180,46648
27,0,81,81,9,33,1,0,51,73506
26,1,103,103,7,27,0,0,52,50266
8,1,21,21,3,10,0,0,9,67115
2,1,2,2,0,3,0,0,3,55434
7,1,14,14,2,8,0,0,7,49417
26,7,57,57,11,43,6,1,58,74369
20,4,60,60,13,91,1,0,58,74693
2,1,2,2,0,3,0,0,1,38807
20,4,20,20,4,45,0,0,17,73156
7,4,12,12,2,16,0,1,11,44225
21,6,36,36,5,30,0,1,36,51924
57,6,35,35,8,41,1,1,25,60280
10,0,0,0,0,2,0,0,0,65256
31,3,66,66,15,40,5,1,54,70957
13,1,11,11,3,14,0,0,8,58528
19,2,32,32,7,24,1,1,21,73678
21,5,26,26,4,24,1,0,12,71645
20,1,46,46,8,20,1,0,34,73382
9,1,9,9,2,12,1,0,5,74447
27,8,84,84,13,54,2,1,78,41709
3,0,3,3,0,3,0,0,0,67791
12,1,36,36,4,16,1,0,12,73228
21,7,27,27,0,35,0,0,19,39191
5,1,7,7,1,8,0,0,5,68034
19,1,31,31,8,16,1,0,17,74017
7,4,10,10,1,16,0,1,8,57777
20,9,22,22,5,48,0,5,26,54858
5,1,7,7,1,4,0,0,7,53734
13,1,18,18,4,14,0,0,17,47327
16,2,25,25,5,29,0,0,15,70054
38,20,99,99,19,86,13,0,107,72069
19,2,41,41,6,37,5,1,31,75256
34,6,88,88,18,52,0,2,85,72593
11,1,33,33,2,12,0,0,14,61645
23,9,55,55,7,55,0,1,40,60957
31,3,44,44,6,44,1,0,49,51359
11,1,7,7,1,8,1,0,5,59769
17,4,35,35,5,25,0,1,17,72439
24,6,67,67,22,63,0,1,66,46865
33,10,150,150,19,59,5,0,95,69625
4,1,7,7,1,5,0,0,5,39892
9,1,28,28,6,14,0,0,13,59293
2,0,4,4,0,2,0,0,1,59786
40,15,97,97,17,81,0,2,81,42060
9,1,9,9,0,5,0,0,2,61700
8,3,19,19,4,18,1,1,16,60812
7,4,10,10,1,17,0,1,9,48197
7,1,8,8,1,10,0,0,7,52963
4,1,2,2,0,5,0,0,3,47262
13,15,79,79,8,36,0,0,36,42430
15,2,47,47,6,30,2,0,27,75743
3,1,5,5,0,5,0,0,5,64152
31,23,93,93,15,79,0,1,76,63697
76,56,276,276,38,261,0,0,201,46920
23,8,51,51,14,64,5,1,44,70541
9,5,25,25,1,15,0,0,25,42963
68,42,186,186,21,219,0,1,127,58197
23,2,55,55,7,27,7,0,42,68521
16,1,29,29,5,31,0,0,15,43671
9,1,7,7,1,10,0,0,5,57262
10,5,10,10,2,16,0,0,7,48894
16,5,10,10,2,36,0,0,11,49786
4,3,7,7,1,17,0,2,11,65313
28,2,48,48,9,48,4,1,52,72985
